ticker,company,sector,industry,market_cap,roic_5y_avg,roe_5y_avg,gross_margin_5y_avg,operating_margin_5y_avg,fcf_margin_5y_avg,revenue_cagr_5y,eps_cagr_5y,debt_to_equity,interest_coverage,current_ratio,fcf_yield,pe,ev_ebit,shares_change_5y_pct
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,504080216000,0.14041781224580188,0.3104481543558994,0.7004123289697602,0.26493288255107894,0.2225129827915382,0.045817259042368,0.09013709913389256,0.5878176199352497,26.360453141091657,1.027676163027011,0.03907711386951159,18.817769718948323,20.7963828723238,-0.07621440376726207
JOBY,"Joby Aviation, Inc.",Industrials,"Airlines, Airports & Air Services",10906380606,-0.35736902734552844,-0.4361064629365369,0.20258548886030997,-971.7643332550222,-1283.600459916882,,,0.043085365602785815,0,24.085462966048045,-0.05169551846465242,-11.68141592920354,,0.3968823948667539
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,898574914000.0001,0.04844990587568689,0.15426829172580045,0.724007070947207,0.31315499366077787,0.31407809158756417,0.21768897724019487,0.06888452694059621,2.6001081564295134,0.7415371100533208,0.5237872854571897,0.11225218780145023,16.03882528621205,20.62972538053585,-0.07704782392851228
JXN,Jackson Financial Inc.,Financial Services,Insurance - Life,7474495820.85,0.0006495684178552737,0.24713214636226297,0.8461467587797289,0.44028123116472695,1.1961966552909118,0.04976717093337002,,0.4629759871395559,-1.14,4.5210594077616335,0.7703529626624636,-444.37500000000006,,-0.20974459533462075
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,38040381000,0.05271351755883915,0.07378989334933059,0.5428192640639169,0.21546848670349222,0.12427047438976482,0.06964864133122317,0.0049629315732038215,0.6325834770340178,4.844827586206897,0.6352231604342582,0.039563220988769805,18.307189542483663,14.551158226115522,-0.04068658614113163
KEX,Kirby Corporation,Industrials,Marine Shipping,6136364920,0.03281544723282766,0.043007823283924176,0.21968621796362564,0.06621195044471347,0.087053302552862,0.10619393307707758,,0.3859637238382825,10.609277527143998,1.5255745027769758,0.06611911209478721,17.2967032967033,14.979460504256393,-0.07258588247048436
KEY,KeyCorp,Financial Services,Banks - Regional,22604329440,0.04163560707041432,0.0880192967196681,0.6943922671027737,0.20482745612071157,0.24466643734282495,0.11135520543556754,-0.1280893952638682,0.5397674304499288,0.6144,0.7703770046014161,0.09294679612491084,13.490196078431373,14.027052708333333,0.15638419749436427
KEYS,"Keysight Technologies, Inc.",Technology,"Hardware, Equipment & Parts",31652080000,0.12415657116773252,0.19954539933041823,0.6308307209681002,0.2113830663252656,0.20995550065776875,0.021270773810326604,0.005189587843645427,0.5055300323294197,9.875,2.3502702702702702,0.0404712739257578,37.33877551020408,34.546497890295356,-0.06486486486486487
KGS,"Kodiak Gas Services, Inc.",Energy,Oil & Gas Equipment & Services,3223281600,0.056737784123457646,0.15465612911265103,0.3879561379217485,0.28889146014151823,0.057544887928393594,0.21192268430187378,-0.2204513190598888,0.036273103439136783,2.08962544739628,0.8372657031367408,0.08819210831594733,40.65217391304348,7.873942087093716,0.14911999999999992
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,28642310000,0.012217289487211618,0.008438916277228956,0.3310439732667877,0.06392316612384334,0.1220254519461444,-0.010731375942426236,,0.509288594470046,-4.9303062302006335,1.1536796536796536,0.12781790295545298,-4.894523326572008,,-0.030228758169934644
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,13660236780,0.028948980867329326,0.05239186248763785,0.6615613041030218,0.3313761315823903,0.4199752993378432,0.11907496495853231,-0.15132867696357466,0.8314736683681305,1.8467299443457434,1.0804980822334707,0.056543602606572096,24.42168674698795,29.349990140478255,0.33119340718383095
KKR,KKR & Co. Inc.,Financial Services,Asset Management,113500798160,0.005493080339097449,0.12229420040761729,0.3447665992253575,0.09230182889727308,-0.14651577292848844,0.04575149388280764,-0.2506184644863271,1.772210173778154,0.20108920635763597,79.85456850260086,0.08390193861523061,50.78884462151395,364.2348538821879,0.5291167676240298
KKRS,KKR Group Finance Co. IX LLC 4.,Financial Services,Financial - Credit Services,15502790649.999998,2.7261955066293777,61.81462467762874,0.6358712310351179,0.45158110930192336,-0.21078497229585064,-0.05896337254088213,,0,45.00173577562388,0,0.020447608895499084,0,1.167432504173347,0.5240554461159037
KLAC,KLA Corporation,Technology,Semiconductors,11915497100,0.32418500061329486,1.1662821350113677,0.6060563177174991,0.3877224688419409,0.30847968560376265,0.15131048896998833,0.22766067958557978,1.297462542512413,17.344919679911044,2.618532990519593,0.31401912724228687,2.9338355715689484,3.0384915794464655,-0.13665096115156472
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,33606459000,0.19168170552797975,2.6736003824145227,0.3348972751392373,0.13679284992567198,0.10740741247862921,-0.029916766819358287,0.03206898529451019,4.857523302263648,9.72265625,0.7452631578947368,0.048770386668824585,16.59375,16.156873844917637,-0.012451823302697895
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,61165250000,0.05335575441603761,0.08066215592715421,0.3573272083469653,0.2738583507743023,0.21732502968357115,-0.008418609771858598,0.15121513629999384,1.0392786085617098,2.6733333333333333,0.6372049976862564,0.052660620205100116,20.065693430656932,19.418588944305903,-0.018093556928508336
KMX,"CarMax, Inc.",Consumer Cyclical,Auto - Dealerships,6357127860,-0.003152920119856887,0.10146740366941202,0.10360764793777721,-0.005027304739104059,-0.0013781401442366863,-0.05093329083243758,-0.2993209605900192,3.019700940216572,-0.4658478798172793,2.199101790827831,0.19550621402791796,25.696428571428573,,-0.09329474786035341
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Trucking,8487082920,0.04139505131354862,0.0562689987608868,0.29082056997042105,0.08436525851609063,0.06139511366952823,0.05638851468906436,-0.44905789826183473,0.40852436175370854,1.5536697672981241,0.8606654907007212,0.08992818936662399,127.51219512195124,44.06799742218828,-0.02122874713613887
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,300822730000,0.11396571926949997,0.4137711417673405,0.6012535520477675,0.2533870922899188,0.18743692362353465,0.05529857762651691,0.07813406012928015,1.4141564860580063,8.32043530834341,1.4587660354306657,0.017605052650110583,22.921311475409837,24.418306205493387,-0.0027809965237542977
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,40978200000,0.07444913970597558,0.21559041518974648,0.2233722466011455,0.022528726999596505,0.017648138638972972,0.017233986449983085,-0.08216366427655963,4.163995275856251,2.9577464788732395,0.8020458943876141,0.08175078456349961,40.28846153846154,32.9757671957672,-0.12365591397849462
KRMN,Karman Holdings Inc.,Industrials,Aerospace & Defense,9682000740,0.05579377465292875,0.013671400364872521,0.37984217524404834,0.15046336598545387,-0.04110187971401778,0.2772006362627426,,1.5346794149849357,1.6366818497991789,3.2864876447832905,-0.004384940792722972,562.8461538461538,140.321758931754,0.0011152521658626124
KRYS,"Krystal Biotech, Inc.",Healthcare,Biotechnology,7135853760,-0.06197873891308296,-0.021806469799847173,0.5591956103822595,-0.3047297673666721,-0.3628658264066604,,,0.007657679818951097,50.0,9.953196945853005,0.02647391697668423,34.82203389830509,41.22191487646858,0.30396904136740877
